SCUOLA_ANONIMO,CLASSE_ANONIMO,STUDENTE_ANONIMO,TIPO_SCUOLA,Grado,genere,mese,anno,luogo,regolarità,origine,luogo_padre,luogo_madre,voto_scritto_ita,voto_orale_ita,voto_scritto_mat,voto_orale_mat,voto_scritto_eng,voto_orale_eng,codice_orario,Cod_Reg,Areageo_5,WLE_ELI_200,LIVELLI_WLE_ELI,peso_studente,peso_classe,peso_scuola,ESCS_studente
1328,702,11906,1,13,1,2,5,1,1,1,1,1,99,99,99,99,99,99,9,15,4,254.087262841149,3,35.8418604651163,7.69767441860465,4.65619335347432,1.00920044901524
1328,702,11907,1,13,1,6,4,1,1,1,1,1,99,99,99,99,99,99,9,15,4,271.878635497657,3,35.8418604651163,7.69767441860465,4.65619335347432,.410738313056407
1328,701,11908,1,13,2,7,4,1,1,1,1,4,99,99,99,99,99,99,9,15,4,249.564273732179,3,35.8418604651163,7.69767441860465,4.65619335347432,1.15881598300494
1328,702,11909,1,13,1,4,5,1,1,1,1,1,99,99,99,99,99,99,9,15,4,270.29673993736,3,35.8418604651163,7.69767441860465,4.65619335347432,1.86931737045726
1328,701,11910,1,13,2,3,5,1,1,1,1,1,99,99,99,99,99,99,9,15,4,278.439546549082,3,35.8418604651163,7.69767441860465,4.65619335347432,2.28480744501576
1327,699,11911,2,13,2,2,5,1,1,9,9,9,99,99,99,99,99,99,9,15,4,195.313936271305,2,26.969387755102,2.30952380952381,11.6774668630339,.76631232401764
1328,702,11912,1,13,1,12,4,1,1,1,1,1,99,99,99,99,99,99,9,15,4,275.914793954222,3,35.8418604651163,7.69767441860465,4.65619335347432,.709969381035822
1326,698,11913,3,13,1,10,4,1,1,1,1,1,12,6,12,5,12,5,3,15,4,195.442559354184,2,31.6644385026738,2.22727272727273,14.2166866746699,-1.30205190413351
1327,700,11914,2,13,2,11,4,1,1,1,1,1,99,99,99,99,99,99,9,15,4,194.264451302331,2,26.969387755102,2.30952380952381,11.6774668630339,.12228860916409
1327,700,11915,2,13,2,2,5,1,1,1,4,1,99,99,99,99,99,99,9,15,4,279.449043928171,3,26.969387755102,2.30952380952381,11.6774668630339,.246937378087969
1327,699,11916,2,13,2,4,5,1,1,1,1,1,99,99,99,99,99,99,9,15,4,228.361997188533,3,26.969387755102,2.30952380952381,11.6774668630339,-1.09737728124353
1333,711,11917,3,13,1,7,4,1,1,1,1,1,66,6,66,7,66,8,3,15,4,190.924762920212,2,43.5386029411765,2.78125,15.6543291473893,.089167463975947
1333,712,11918,3,13,2,3,5,1,1,1,1,1,66,5,66,6,66,6,3,15,4,180.382867417694,2,43.5386029411765,2.78125,15.6543291473893,-1.14428199002149
1331,708,11919,4,13,1,10,4,1,1,1,1,1,12,6,12,4,12,6,3,15,4,155.132264671843,1,33.0970588235294,3.5,9.4563025210084,-.19928223991637
1327,700,11920,2,13,2,2,5,1,1,1,1,1,99,99,99,99,99,99,9,15,4,189.66719863065,2,26.969387755102,2.30952380952381,11.6774668630339,-.377102616577677
1333,712,11921,3,13,2,12,4,1,1,1,1,1,66,4,66,4,66,4,3,15,4,146.904829783593,1,43.5386029411765,2.78125,15.6543291473893,.870366279112627
1329,704,11922,1,13,1,7,4,1,1,1,1,2,12,8,12,6,12,7,3,15,4,205.857472025809,2,28.0218181818182,8.89090909090909,3.15173824130879,-.830601989772924
1329,704,11923,1,13,1,8,4,1,1,1,1,1,12,7,12,7,12,8,3,15,4,210.134550779215,2,28.0218181818182,8.89090909090909,3.15173824130879,-1.44675113560667
1330,706,11924,3,13,1,3,4,1,1,1,1,1,12,5,12,3,12,6,3,15,4,165.217645289108,1,40.977508650519,5.05882352941176,8.10020519835841,-2.39085795735393
1070,25,11926,1,13,1,1,5,1,1,1,1,1,12,6,12,6,66,6,3,2,1,220.715722698071,3,27.7537878787879,3.29545454545455,8.42183908045977,.515674284844023
1274,548,11927,3,13,1,3,5,1,1,1,1,1,99,99,99,99,99,99,9,12,3,145.234065359589,1,37.5522875816994,2.70588235294118,13.8780193236715,.571135211133212
1327,699,11928,2,13,2,5,4,1,1,1,2,1,99,99,99,99,99,99,9,15,4,141.609256180974,1,26.969387755102,2.30952380952381,11.6774668630339,.422401693836134
1328,702,11929,1,13,2,5,5,1,1,1,1,1,99,99,99,99,99,99,9,15,4,255.040450601325,3,35.8418604651163,7.69767441860465,4.65619335347432,.37097505337086
