SCUOLA_ANONIMO,CLASSE_ANONIMO,STUDENTE_ANONIMO,TIPO_SCUOLA,Grado,genere,mese,anno,luogo,regolarità,origine,luogo_padre,luogo_madre,voto_scritto_ita,voto_orale_ita,voto_scritto_mat,voto_orale_mat,voto_scritto_eng,voto_orale_eng,codice_orario,Cod_Reg,Areageo_5,WLE_MAT_200,LIVELLI_WLE_MAT,peso_studente,peso_classe,peso_scuola,ESCS_studente
602,219,19277,3,13,1,5,3,1,3,9,9,9,12,5,12,7,12,6,4,51,2,164.363827983529,1,4.19318181818182,1.02272727272727,4.1,-.19928223991637
1149,220,19278,3,13,2,7,4,1,1,9,9,9,12,9,12,10,12,10,4,51,2,260.187367104932,5,5.42647058823529,1.02941176470588,5.27142857142857,.69254590245132
1149,221,19279,3,13,2,6,4,1,1,9,9,9,12,9,12,8,12,8,4,51,2,218.765817405911,4,5.42647058823529,1.02941176470588,5.27142857142857,-.947359909864906
601,217,19280,4,13,1,5,2,3,3,9,9,9,12,7,12,9,12,8,3,51,2,213.584131966244,4,3.17647058823529,2.17241379310345,1.46218487394958,-.349299611294997
601,217,19281,4,13,1,6,3,1,3,1,1,1,12,8,12,8,12,8,3,51,2,234.953886902426,5,3.17647058823529,2.17241379310345,1.46218487394958,.246937378087969
601,216,19282,4,13,2,1,4,1,1,9,9,9,12,6,12,5,12,6,3,51,2,132.344357218585,1,3.17647058823529,2.17241379310345,1.46218487394958, 
599,214,19283,1,13,1,2,5,1,1,9,9,9,12,7,12,8,12,7,4,51,2,257.027963465915,5,4.13297872340426,3,1.37765957446809,1.53672977506722
601,216,19285,4,13,2,9,4,1,1,9,9,9,66,7,66,5,66,6,3,51,2,166.393125456235,1,3.17647058823529,2.17241379310345,1.46218487394958, 
601,216,19286,4,13,1,2,4,1,1,9,9,9,66,6,66,6,66,9,3,51,2,213.584131966244,4,3.17647058823529,2.17241379310345,1.46218487394958,-.842423938077291
598,213,19287,2,13,2,1,5,1,1,9,9,9,12,9,12,7,12,9,4,51,2,264.046970152181,5,6.7741935483871,4.70967741935484,1.43835616438356,.673444198956045
597,210,19288,2,13,2,10,4,3,1,9,9,9,7,7,7,8,7,6,4,51,2,163.577879789385,1,5.45583372697213,3.79310344827586,1.43835616438356,-.354762835476631
696,421,19289,1,13,1,9,2,4,3,9,9,9,12,6,12,8,12,7,3,9,3,201.223944607634,3,36.5444444444445,1.06666666666667,34.2604166666667,.393314834471905
1278,556,19290,1,13,1,5,4,1,1,9,9,9,66,8,66,8,66,8,3,12,3,192.448496508608,3,33.6146572104019,.914893617021277,36.7416020671835,-.19928223991637
